Data	Fechamento	Variação	Variação (%)	Abertura	Máxima	Mínima	Volume
22 Jan 2021	104,5	-0,5	-0,48%	104,89	104,89	104,37	3973
21 Jan 2021	105	-0,3	-0,28%	105	105	105	10000
20 Jan 2021	105,3	0	0,0%	104,91	105,3	104,91	10055
19 Jan 2021	105,3	-0,4	-0,38%	105,3	105,3	105,3	1000
18 Jan 2021	105,7	-0,15	-0,14%	105,7	105,7	105,7	5000
15 Jan 2021	105,85	0	0,0%	105,85	105,85	105,85	7000
14 Jan 2021	105,85	0,65	0,62%	105,85	105,85	105,85	13000
13 Jan 2021	105,2	-0,3	-0,28%	105,83	105,83	105,2	3030
12 Jan 2021	105,5	0,3	0,29%	105,5	105,5	105,5	15000
11 Jan 2021	105,2	-0,8	-0,75%	105,2	105,2	105,2	2000
08 Jan 2021	106	0,1	0,09%	106	106	106	22000
07 Jan 2021	105,9	-0,6	-0,56%	105,9	105,9	105,9	4500
06 Jan 2021	106,5	-0,1	-0,09%	106,5	106,5	106,5	5000
05 Jan 2021	106,6	-0,2	-0,19%	106,78	106,78	106,6	19930
04 Jan 2021	106,8	0,3	0,28%	106,8	106,8	106,8	5000
01 Jan 2021	106,5	0	+0,00%	106,5	106,5	106,5	0
31 Dez 2020	106,5	0	+0,00%	106,5	106,5	106,5	0
30 Dez 2020	106,5	0,35	0,33%	106,5	106,5	106,5	1000
29 Dez 2020	106,15	0,75	0,71%	106,15	106,15	106,15	6000
28 Dez 2020	105,4	-0,46	-0,43%	105,4	105,4	105,4	5000
25 Dez 2020	105,86	0	+0,00%	105,35	105,86	105,35	0
24 Dez 2020	105,86	0	+0,00%	105,35	105,86	105,35	0
23 Dez 2020	105,86	0,51	0,48%	105,35	105,86	105,35	8208
22 Dez 2020	105,35	-0,1	-0,09%	105,35	105,35	105,35	6000
21 Dez 2020	105,45	-0,25	-0,24%	105,56	105,56	105,45	2502
18 Dez 2020	105,7	0,1	0,09%	105,36	105,7	105,36	7365
17 Dez 2020	105,6	0,5	0,48%	105,6	105,6	105,6	10000
16 Dez 2020	105,1	-0,45	-0,43%	105,1	105,1	105,1	10000
15 Dez 2020	105,55	0,55	0,52%	105,14	105,67	105,14	4371
14 Dez 2020	105	-0,1	-0,1%	104,57	105	104,57	10001
11 Dez 2020	105,1	0,55	0,53%	104,94	105,1	104,94	5856
10 Dez 2020	104,55	0,7	0,67%	104,28	104,55	104,28	11140
09 Dez 2020	103,85	0,15	0,14%	103,85	103,85	103,85	20000
08 Dez 2020	103,7	-0,13	-0,13%	103,96	103,96	103,7	5031
07 Dez 2020	103,83	0,13	0,13%	103,83	103,83	103,83	5000
04 Dez 2020	103,7	0,2	0,19%	103,5	103,7	103,5	3005
