date,open,high,low,close
8/12/2020,114.43,114.67,114.26,114.43
8/13/2020,114.43,114.76,114.25,114.76
8/14/2020,114.76,114.99,114.38,114.69
8/17/2020,114.69,115.31,114.46,115.12
8/18/2020,115.27,115.31,114.69,115.14
8/19/2020,115.14,115.31,114.81,115.03
8/20/2020,115.3,116.2,114.99,115.58
8/24/2020,117.09,118.84,117.09,118.84
8/25/2020,118.86,121.08,118.69,120.41
8/26/2020,120.41,120.46,119.49,119.75
8/27/2020,120.22,120.23,119.53,120
8/28/2020,120,120.09,118.78,119.13
8/31/2020,119.13,119.93,118.86,119.66
9/1/2020,120.47,120.47,117.54,118.8
9/2/2020,119.78,120.64,118.5,120.32
9/3/2020,119.82,120.51,118.5,119.03
9/4/2020,118.05,118.87,116.72,117.25
9/8/2020,118.05,118.05,116.71,117.15
9/9/2020,116.89,117.51,116.33,116.8
9/10/2020,116.8,117.15,116.28,116.33
9/11/2020,116.53,117.02,116.28,116.53
9/14/2020,117.02,117.06,115.37,115.37
9/15/2020,115.54,116.24,115.37,115.98
9/16/2020,115.9,116.16,115.28,115.28
9/17/2020,115.32,115.9,115.27,115.9
9/18/2020,115.9,116.64,115.37,116.47
9/21/2020,116.64,116.71,115.96,116.71
9/22/2020,117.05,117.6,115.9,116.71
9/23/2020,116.76,117.56,116.76,117.23
9/24/2020,117.32,117.94,117.24,117.42
9/25/2020,117.94,117.94,116.26,116.81
9/28/2020,117.32,117.94,116.71,117.23
9/29/2020,117.5,118.05,117.42,117.87
9/30/2020,117.87,118.46,116.26,118.18
10/1/2020,117.87,117.87,116.39,117.56
10/2/2020,118.51,119.25,118.23,119.22
10/5/2020,119.22,119.76,118.68,119.34
10/6/2020,119.34,119.83,118.5,118.68
10/7/2020,119.32,119.4,118.95,119.4
10/8/2020,118.96,119.4,118.77,119.22
Tue Oct 13 2020,119.09,120.58,119.04,120.58
Wed Oct 14 2020,120.58,120.76,119.87,120.58
Thu Oct 15 2020,120.71,121.46,120.53,121.36
Fri Oct 16 2020,121.41,121.66,120.77,121.36
Mon Oct 19 2020,121.66,122.56,121.65,121.88
Tue Oct 20 2020,121.75,122.34,121,121.56
Wed Oct 21 2020,121.56,121.67,120.98,121.63
Thu Oct 22 2020,121.63,122.2,121.21,121.84
Fri Oct 23 2020,121.93,122.55,121.66,122.11
Mon Oct 26 2020,122.2,122.55,121.66,121.86
Tue Oct 27 2020,121.86,122.02,121.12,121.57
Wed Oct 28 2020,121.21,121.66,119.85,120.36
Thu Oct 29 2020,120.36,121.66,117.7,121.65
Fri Oct 30 2020,121.65,121.66,119.85,120.14
11/3/2020,120.93,121.74,120.62,121.46
11/4/2020,121.74,122.08,121.22,121.62
11/5/2020,122.27,122.4,121.76,122.31
11/6/2020,122.31,122.67,121.75,121.76
11/9/2020,121.94,122.67,121.31,122.63
Tue Nov 10 2020,122.67,122.67,122.22,122.51
Wed Nov 11 2020,122.51,123.26,122.21,122.66
Thu Nov 12 2020,123.11,123.12,121.4,122.11
Fri Nov 13 2020,122.61,122.62,121.62,122.41
Mon Nov 16 2020,122.61,122.67,122.17,122.38
Tue Nov 17 2020,122.61,123.08,121.98,122.31
Wed Nov 18 2020,122.41,122.58,121.67,122.06
Thu Nov 19 2020,122.07,122.36,121.68,122.02
Fri Nov 20 2020,122.02,122.71,121.96,122.61
Mon Nov 23 2020,122.67,123.21,122.31,123.03
Tue Nov 24 2020,123.03,123.11,122.18,122.67
Wed Nov 25 2020,122.5,122.65,121.76,122.05
Fri Nov 27 2020,122.17,123.12,121.76,121.77
Mon Nov 30 2020,121.91,122.96,121.85,122.94
12/1/2020,121.22,122.68,121.22,122.26
12/2/2020,123.28,123.28,121.87,121.88
12/3/2020,121.96,122.92,121.84,122.91
12/4/2020,122.78,123.24,121.88,121.92
12/7/2020,121.92,122.02,120.49,120.9
12/8/2020,120.9,121.31,119.99,120.81
12/9/2020,120.81,121.11,119.18,119.48
Thu Dec 10 2020,119.48,120.78,119.48,120.56
Fri Dec 11 2020,120.58,121.41,119.62,121.17
Mon Dec 14 2020,121.39,121.41,119.76,120.3
Tue Dec 15 2020,120.4,120.95,120.04,120.64
Wed Dec 16 2020,120.64,121.41,120.63,121.41
Thu Dec 17 2020,121.48,121.83,120.64,121.22
Fri Dec 18 2020,121.41,121.86,120.03,121.26
Mon Dec 21 2020,121.26,121.84,120.86,121.59
Tue Dec 22 2020,121.8,123.61,121.61,123.5
Wed Dec 23 2020,123.5,124.16,123.24,123.97
Mon Dec 28 2020,123.7,123.97,122.98,123.96
Tue Dec 29 2020,123.97,123.97,123.24,123.66
Wed Dec 30 2020,123.91,123.96,123.52,123.82
1/4/2021,124.03,124.49,122.89,123.61
1/6/2021,124.49,124.79,123.11,124.03
1/7/2021,124.03,124.77,123.42,123.85
1/8/2021,123.85,124.73,123.66,124.13
1/11/2021,123.94,125.69,123.94,125.14
1/12/2021,125.13,125.42,124.96,125.14
1/13/2021,125.14,126.48,124.96,125.89
1/14/2021,126.34,127.46,125.79,126.7
1/15/2021,126.7,128.64,125.28,126.53
1/18/2021,126.82,128.57,126.82,128.29
1/19/2021,128.3,130.21,128.3,129.82
1/20/2021,129.8,130.51,129.58,130.22
1/21/2021,130.22,132.36,130.05,131.85
1/22/2021,132.17,132.82,131.44,131.95
1/26/2021,132.18,132.81,131.63,132.08
1/27/2021,132.08,132.82,131.44,132.22
1/28/2021,132.07,132.82,132.01,132.82
1/29/2021,132.82,134.19,132.82,133.32
2/1/2021,134.22,134.31,131.62,132.55
2/2/2021,133.41,134.87,132.77,134.41
2/3/2021,134.92,135.33,134.42,134.84
2/4/2021,135.14,135.14,134.5,134.94
2/5/2021,134.85,135.15,134.22,134.4
2/8/2021,134.4,134.4,130.91,133.14
2/9/2021,131.05,132.4,130.21,131.33
2/10/2021,131.24,133.74,131.09,132.06
2/11/2021,132.82,132.82,131.09,131.8
2/12/2021,131.82,133.47,131.82,133.15
2/17/2021,133.15,133.47,132.56,133.01
2/18/2021,133.33,133.94,132.93,133.08
2/19/2021,133.08,134.37,132.03,133.46
2/22/2021,133.46,133.46,132.07,132.17
2/23/2021,132.23,132.54,131.89,132.52
2/24/2021,131.62,134.4,131.62,132.55
2/25/2021,132.68,133.71,132.57,133.48
2/26/2021,133.89,134.41,133.1,133.56
3/1/2021,133.24,134.44,132.77,134.35
3/2/2021,134.27,134.34,133.33,133.43
3/3/2021,133.6,133.6,131.54,131.79
3/4/2021,131.79,132.56,131.53,131.9
3/5/2021,131.9,132.67,131.77,132.25
3/8/2021,132.25,132.86,131.74,131.74
3/9/2021,131.74,133.21,131.64,132.01
3/10/2021,132.01,133.6,131.61,131.71
3/11/2021,131.83,133.99,131.73,133.99
3/12/2021,133.99,134.42,133.3,134.42
3/15/2021,128.2,130.79,126.74,130.79
3/16/2021,130.79,131.25,128.44,129.82
3/17/2021,129.82,129.83,128.07,129.12
3/19/2021,128.63,129.66,127.97,129.4
3/22/2021,128.91,129.29,127.75,128.75
3/23/2021,128.67,128.67,125.63,126.29
3/24/2021,126.29,126.29,125.02,125.99
3/25/2021,126.07,127.59,126.07,127.36
3/26/2021,126.85,127.9,126.43,126.93
3/29/2021,126.92,127.95,126.17,127.95
3/30/2021,127.95,127.95,126.77,127.03
3/31/2021,127.03,128.73,126.93,128.73
4/1/2021,131.01,131.01,128.87,129.49
4/5/2021,129.49,130.28,129.37,129.82
4/6/2021,129.84,130.78,129.84,130.74
4/7/2021,130.76,131.98,130.76,131.37
4/8/2021,131.89,133.18,130.33,130.55
4/9/2021,131.26,132.79,131.26,132.22
4/12/2021,131.5,132.7,131.08,131.26
4/13/2021,131.73,132.68,131.36,132.12
4/14/2021,132.12,132.68,132.12,132.26
4/15/2021,132.26,134.13,132.26,134.04
4/16/2021,134.04,134.71,133.29,134.66
4/19/2021,134.34,134.69,134.04,134.69
4/20/2021,134.15,135.09,133.66,134.6
4/22/2021,134.6,134.6,133.38,133.41
4/26/2021,133.38,134.31,133.38,134.21
4/28/2021,134.13,134.13,133.66,134
4/29/2021,134,134.23,133.66,133.94
4/30/2021,133.95,135.09,133.47,134.13
5/3/2021,131.97,132.74,130.52,132.09
5/4/2021,132.07,132.07,130.26,131.1
5/5/2021,131.13,132.45,130.52,130.52
5/6/2021,131,132.07,130.54,131.87
5/7/2021,131.87,131.97,131,131.29
5/10/2021,131.58,131.95,130.62,130.95
5/11/2021,130.95,131.1,130.33,130.71
5/12/2021,130.77,130.77,130.43,130.52
5/13/2021,130.31,130.76,130.31,130.52
5/14/2021,130.76,131.28,130.33,130.46
5/17/2021,130.46,131,130.26,130.37
5/18/2021,130.33,130.5,130.14,130.5
5/19/2021,130.33,131.49,130.29,131.49
5/20/2021,131.49,132.07,131.08,131.9
5/21/2021,131.9,132.25,130.52,131.68
5/24/2021,131.67,131.97,127.62,131.58
5/25/2021,131.49,132.25,130.8,132.25
5/26/2021,132.24,132.24,130.71,131.5
5/27/2021,132.04,135.19,131.49,134.38
5/28/2021,134.29,135.34,133.48,134.01
5/31/2021,134.19,134.57,132.94,134
6/1/2021,132.83,132.91,131.98,132.91
6/2/2021,134.04,134.05,132.6,133.71
6/4/2021,133.48,133.57,131.83,133.14
6/7/2021,131.66,132.02,131.23,131.43
6/8/2021,131.47,131.63,130.85,130.96
6/9/2021,130.96,131.48,130.96,131.34
6/11/2021,131.25,131.63,130.9,131.58
6/14/2021,131.53,132.1,131.13,132.06
6/15/2021,131.69,132.05,131.25,131.63
6/16/2021,131.79,132.12,131.16,131.63
6/17/2021,131.63,131.82,130.7,130.86
6/18/2021,130.86,131.23,130.86,131.09
6/21/2021,131.09,131.33,130.65,130.8
6/22/2021,130.71,131.34,130.19,130.61
6/23/2021,130.45,130.6,127.73,129.51
6/24/2021,128.72,130.97,128.72,130.18
6/25/2021,130.2,131.34,121.88,127.24
